"var_name","var_def","type"
"ano","ano","ts_id"
"id_municipio_nome","id_municipio_nome","cs_id"
"sigla_uf","sigla_uf","factor"
"natureza_juridica","natureza_juridica","factor"
"populacao_atendida_agua","populacao_atendida_agua","numeric"
"populacao_atentida_esgoto","populacao_atentida_esgoto","numeric"
"populacao_urbana","populacao_urbana","numeric"
"volume_agua_produzido","volume_agua_produzido","numeric"
"volume_agua_faturado","volume_agua_faturado","numeric"
"consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_agua","numeric"
"consumo_eletrico_sistemas_esgoto","consumo_eletrico_sistemas_esgoto","numeric"
"volume_esgoto_tratado","volume_esgoto_tratado","numeric"
"volume_esgoto_faturado","volume_esgoto_faturado","numeric"
"receita_operacional_direta","receita_operacional_direta","numeric"
"receita_operacional_direta_agua","receita_operacional_direta_agua","numeric"
"receita_operacional_direta_esgoto","receita_operacional_direta_esgoto","numeric"
"arrecadacao_total","arrecadacao_total","numeric"
"despesa_energia","despesa_energia","numeric"
"investimento_agua_prestador","investimento_agua_prestador","numeric"
"investimento_esgoto_prestador","investimento_esgoto_prestador","numeric"
"investimento_total_prestador","investimento_total_prestador","numeric"
"investimento_agua_municipio","investimento_agua_municipio","numeric"
"investimento_esgoto_municipio","investimento_esgoto_municipio","numeric"
"investimento_total_municipio","investimento_total_municipio","numeric"
"investimento_agua_estado","investimento_agua_estado","numeric"
"investimento_esgoto_estado","investimento_esgoto_estado","numeric"
"investimento_total_estado","investimento_total_estado","numeric"
